"Make","Year","Model"
"Acura","2014","ILX"
"Acura","2013","ILX"
"Acura","2014","MDX"
"Acura","2014","RDX"
"Acura","2014","RLX"
"Acura","2014","TL"
"Acura","2013","TL"
"Acura","2014","TSX"
"Acura","2013","TSX"
"Acura","2014","TSX Sport Wagon"
"Acura","2013","TSX Sport Wagon"
"Acura","2013","ZDX"
"Aston Martin","2014","DB9"
"Aston Martin","2014","Rapide S"
"Aston Martin","2013","V12 Vantage"
"Aston Martin","2013","V8 Vantage"
"Aston Martin","2014","Vanquish"
"Audi","2013","A3"
"Audi","2014","A4"
"Audi","2014","A5"
"Audi","2014","A6"
"Audi","2014","A7"
"Audi","2014","A8"
"Audi","2014","A8 L"
"Audi","2014","allroad"
"Audi","2013","allroad"
"Audi","2014","Q5"
"Audi","2014","Q7"
"Audi","2014","R8"
"Audi","2014","RS 5"
"Audi","2014","RS 7"
"Audi","2014","S4"
"Audi","2014","S5"
"Audi","2014","S6"
"Audi","2014","S7"
"Audi","2014","S8"
"Audi","2014","SQ5"
"Audi","2014","TT"
"Audi","2013","TT"
"Audi","2013","TT RS"
"Audi","2014","TTS"
"Audi","2013","TTS"
"Bentley","2013","Continental Flying Spur"
"Bentley","2014","Continental GT"
"Bentley","2013","Continental GT"
"Bentley","2014","Continental GT Speed"
"Bentley","2013","Continental GT Speed"
"Bentley","2014","Continental GT V8"
"Bentley","2013","Continental GT V8"
"Bentley","2014","Flying Spur"
"Bentley","2014","Mulsanne"
"Bentley","2013","Mulsanne"
"BMW","2013","1 Series"
"BMW","2014","3 Series"
"BMW","2013","3 Series"
"BMW","2014","3 Series Gran Turismo"
"BMW","2014","4 Series"
"BMW","2014","5 Series"
"BMW","2013","5 Series"
"BMW","2014","5 Series Gran Turismo"
"BMW","2013","5 Series Gran Turismo"
"BMW","2014","6 Series"
"BMW","2013","6 Series"
"BMW","2014","7 Series"
"BMW","2013","7 Series"
"BMW","2013","M3"
"BMW","2014","M5"
"BMW","2013","M5"
"BMW","2014","M6"
"BMW","2013","M6"
"BMW","2014","X1"
"BMW","2014","X3"
"BMW","2014","X5"
"BMW","2013","X5"
"BMW","2013","X5 M"
"BMW","2014","X6"
"BMW","2013","X6"
"BMW","2014","X6 M"
"BMW","2013","X6 M"
"BMW","2014","Z4"
"BMW","2013","Z4"
"Buick","2014","Enclave"
"Buick","2014","Encore"
"Buick","2013","Encore"
"Buick","2014","LaCrosse"
"Buick","2013","LaCrosse"
"Buick","2014","Regal"
"Buick","2013","Regal"
"Buick","2014","Verano"
"Buick","2013","Verano"
"Cadillac","2014","ATS"
"Cadillac","2013","ATS"
"Cadillac","2014","CTS Coupe"
"Cadillac","2014","CTS Sedan"
"Cadillac","2013","CTS Sedan"
"Cadillac","2014","CTS Wagon"
"Cadillac","2013","CTS Wagon"
"Cadillac","2014","CTS-V Coupe"
"Cadillac","2014","CTS-V Sedan"
"Cadillac","2013","CTS-V Sedan"
"Cadillac","2014","CTS-V Wagon"
"Cadillac","2013","CTS-V Wagon"
"Cadillac","2014","Escalade"
"Cadillac","2014","Escalade ESV"
"Cadillac","2014","SRX"
"Cadillac","2013","SRX"
"Cadillac","2014","XTS"
"Cadillac","2013","XTS"
"Chevrolet","2013","Avalanche"
"Chevrolet","2014","Camaro"
"Chevrolet","2013","Camaro"
"Chevrolet","2013","Corvette"
"Chevrolet","2014","Corvette Stingray"
"Chevrolet","2014","Cruze"
"Chevrolet","2014","Equinox"
"Chevrolet","2014","Express Cargo Van"
"Chevrolet","2013","Express Cargo Van"
"Chevrolet","2014","Express Passenger"
"Chevrolet","2013","Express Passenger"
"Chevrolet","2014","Impala"
"Chevrolet","2014","Malibu"
"Chevrolet","2013","Malibu"
"Chevrolet","2014","Silverado 1500"
"Chevrolet","2014","Silverado 2500HD"
"Chevrolet","2013","Silverado 2500HD"
"Chevrolet","2014","Silverado 3500HD"
"Chevrolet","2013","Silverado 3500HD"
"Chevrolet","2014","Sonic"
"Chevrolet","2013","Sonic"
"Chevrolet","2014","Spark"
"Chevrolet","2013","Spark"
"Chevrolet","2014","Spark EV"
"Chevrolet","2014","SS"
"Chevrolet","2014","Suburban"
"Chevrolet","2014","Tahoe"
"Chevrolet","2013","Tahoe"
"Chevrolet","2013","Tahoe Hybrid"
"Chevrolet","2014","Traverse"
"Chevrolet","2014","Volt"
"Chevrolet","2013","Volt"
"Chrysler","2014","200"
"Chrysler","2013","200"
"Chrysler","2014","300"
"Chrysler","2013","300"
"Chrysler","2014","Town & Country"
"Chrysler","2013","Town & Country"
"Dodge","2014","Avenger"
"Dodge","2014","Challenger"
"Dodge","2013","Challenger"
"Dodge","2014","Charger"
"Dodge","2013","Charger"
"Dodge","2014","Dart"
"Dodge","2013","Dart"
"Dodge","2014","Durango"
"Dodge","2013","Durango"
"Dodge","2014","Grand Caravan"
"Dodge","2014","Journey"
"Dodge","2014","SRT Viper"
"Dodge","2013","SRT Viper"
"Ferrari","2012","458 Italia"
"Ferrari","2013","California"
"Ferrari","2012","FF"
"FIAT","2014","500"
"FIAT","2013","500"
"FIAT","2014","500c"
"FIAT","2014","500e"
"FIAT","2013","500e BATTERY ELECTRIC"
"FIAT","2014","500L"
"Ford","2014","C-Max Energi"
"Ford","2013","C-Max Energi"
"Ford","2014","C-Max Hybrid"
"Ford","2013","C-Max Hybrid"
"Ford","2014","Econoline Cargo Van"
"Ford","2013","Econoline Cargo Van"
"Ford","2014","Econoline Wagon"
"Ford","2013","Econoline Wagon"
"Ford","2014","Edge"
"Ford","2013","Edge"
"Ford","2014","Escape"
"Ford","2014","Expedition"
"Ford","2013","Expedition"
"Ford","2014","Expedition EL"
"Ford","2013","Expedition EL"
"Ford","2014","Explorer"
"Ford","2014","F-150"
"Ford","2013","F-150"
"Ford","2014","Fiesta"
"Ford","2013","Fiesta"
"Ford","2014","Flex"
"Ford","2014","Focus"
"Ford","2014","Focus Electric"
"Ford","2014","Fusion"
"Ford","2014","Fusion Energi"
"Ford","2014","Mustang"
"Ford","2014","Super Duty F-250 SRW"
"Ford","2014","Super Duty F-350 DRW"
"Ford","2014","Super Duty F-350 SRW"
"Ford","2014","Super Duty F-450 DRW"
"Ford","2014","Taurus"
"Ford","2014","Transit Connect"
"Ford","2013","Transit Connect"
"Ford","2014","Transit Connect Wagon"
"Ford","2013","Transit Connect Wagon"
"GMC","2014","Acadia"
"GMC","2014","Savana Cargo Van"
"GMC","2013","Savana Cargo Van"
"GMC","2014","Savana Passenger"
"GMC","2013","Savana Passenger"
"GMC","2014","Sierra 1500"
"GMC","2014","Sierra 2500HD"
"GMC","2013","Sierra 2500HD"
"GMC","2014","Sierra 3500HD"
"GMC","2013","Sierra 3500HD"
"GMC","2014","Terrain"
"GMC","2013","Terrain"
"GMC","2014","Yukon"
"GMC","2013","Yukon"
"GMC","2013","Yukon Hybrid"
"GMC","2014","Yukon XL"
"GMC","2013","Yukon XL"
"Honda","2014","Accord Coupe"
"Honda","2013","Accord Coupe"
"Honda","2014","Accord Hybrid"
"Honda","2014","Accord Plug-in Hybrid"
"Honda","2014","Accord Sedan"
"Honda","2013","Accord Sedan"
"Honda","2013","Civic Coupe"
"Honda","2013","Civic Hybrid"
"Honda","2013","Civic Sedan"
"Honda","2014","CR-V"
"Honda","2014","CR-Z"
"Honda","2013","CR-Z"
"Honda","2014","Crosstour"
"Honda","2013","Crosstour"
"Honda","2013","Fit"
"Honda","2013","Insight"
"Honda","2014","Odyssey"
"Honda","2014","Pilot"
"Honda","2013","Pilot"
"Honda","2014","Ridgeline"
"Honda","2013","Ridgeline"
"Hyundai","2014","Accent"
"Hyundai","2013","Accent"
"Hyundai","2013","Azera"
